employment status,FIPS,business/farm in hhld,"(layoff)from full-time job,y/n",unemployed)weeks on job search,college credit completed,reason for work absence last week,state,year-month,CBSA Code,CBSA Name,First City,latitude,longitude
1,47900,2,-1,-1,-1,-1,11.0,2017-03-01,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington, DC-VA-MD-WV",,
1,39340,2,-1,-1,-1,-1,49.0,2023-04-01,39340.0,"Provo-Orem, UT","Provo, UT",40.2337289,-111.6587085
5,35620,-3,-1,-1,-1,-1,36.0,2019-06-01,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York, NY-NJ-PA",,
1,31100,2,-1,-1,-1,-1,6.0,2013-09-01,,,,,
1,12700,2,-1,-1,-1,-1,25.0,2017-02-01,12700.0,"Barnstable Town, MA","Barnstable Town, MA",41.7353861,-70.336412
-1,70750,2,-1,-1,-1,-1,23.0,2012-03-01,,,,,
1,40380,1,-1,-1,2,-1,36.0,2019-11-01,40380.0,"Rochester, NY","Rochester, NY",43.157285,-77.615214
1,31080,1,-1,-1,-1,-1,6.0,2017-03-01,31080.0,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",34.0536909,-118.242766
1,37980,2,-1,-1,5,-1,42.0,2016-06-01,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia, PA-NJ-DE-MD",,
-1,31080,2,-1,-1,-1,-1,6.0,2020-07-01,31080.0,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",34.0536909,-118.242766
5,0,2,-1,-1,3,-1,12.0,2016-08-01,,,,,
1,43340,2,-1,-1,2,-1,22.0,2018-12-01,43340.0,"Shreveport-Bossier City, LA","Shreveport, LA",32.5135356,-93.7477839
1,0,2,-1,-1,3,-1,39.0,2017-12-01,,,,,
1,39580,2,-1,-1,3,-1,37.0,2010-07-01,39580.0,"Raleigh, NC","Raleigh, NC",35.7803977,-78.6390989
7,0,2,-1,-1,-1,-1,28.0,2016-04-01,,,,,
1,31100,2,-1,-1,-1,-1,6.0,2011-01-01,,,,,
-1,36220,2,-1,-1,-1,-1,48.0,2019-12-01,36220.0,"Odessa, TX","Odessa, TX",31.8457149,-102.367687
6,78700,2,-1,-1,-1,-1,9.0,2011-08-01,,,,,
1,0,2,-1,-1,-1,-1,47.0,2013-06-01,,,,,
7,0,2,-1,-1,-1,-1,37.0,2014-08-01,,,,,
1,41940,2,-1,-1,-1,-1,6.0,2016-03-01,41940.0,"San Jose-Sunnyvale-Santa Clara, CA","San Jose, CA",37.3361663,-121.890591
1,12580,2,-1,-1,-1,-1,24.0,2019-05-01,12580.0,"Baltimore-Columbia-Towson, MD","Baltimore, MD",39.2908816,-76.610759
1,0,2,-1,-1,-1,-1,10.0,2014-10-01,,,,,
1,37980,2,-1,-1,4,-1,10.0,2023-02-01,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia, PA-NJ-DE-MD",,
1,40140,2,-1,-1,-1,-1,6.0,2017-11-01,40140.0,"Riverside-San Bernardino-Ontario, CA","Riverside, CA",33.7219991,-116.0372472
-1,16620,2,-1,-1,-1,-1,54.0,2017-11-01,16620.0,"Charleston, WV","Charleston, WV",38.3505995,-81.6332812
5,0,2,-1,-1,-1,-1,21.0,2018-07-01,,,,,
1,0,2,-1,-1,4,-1,16.0,2022-03-01,,,,,
5,28140,2,-1,-1,-1,-1,20.0,2013-04-01,28140.0,"Kansas City, MO-KS","Kansas City, MO, MO-KS",39.06433165,-94.60786890900626
6,0,2,-1,-1,3,-1,46.0,2020-10-01,,,,,
5,41180,2,-1,-1,-1,-1,17.0,2010-02-01,41180.0,"St. Louis, MO-IL","St. Louis, MO, MO-IL",48.5415502,2.659614
1,36100,1,-1,-1,3,-1,12.0,2023-10-01,36100.0,"Ocala, FL","Ocala, FL",29.1871986,-82.1400923
1,26420,2,-1,-1,-1,-1,48.0,2018-07-01,26420.0,"Houston-The Woodlands-Sugar Land, TX","Houston, TX",29.7589382,-95.3676974
5,11460,2,-1,-1,3,-1,26.0,2016-05-01,11460.0,"Ann Arbor, MI","Ann Arbor, MI",42.2813722,-83.7484616
